Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Hubei,Mainland China,2020/1/24  12pm,549,24,31,,549
Guangdong,Mainland China,2020/1/24  12pm,53,,2,,53
Zhejiang,Mainland China,2020/1/24  12pm,43,,1,,43
Beijing,Mainland China,2020/1/24  12pm,36,,1,,36
Chongqing,Mainland China,2020/1/24  12pm,27,,,13,40
Hunan,Mainland China,2020/1/24  12pm,24,,,,24
Guangxi,Mainland China,2020/1/24  12pm,23,,,,23
Shanghai,Mainland China,2020/1/24  12pm,20,,1,22,42
Jiangxi,Mainland China,2020/1/24  12pm,18,,,,18
Sichuan,Mainland China,2020/1/24  12pm,15,,,4,19
Shandong,Mainland China,2020/1/24  12pm,15,,,,15
Anhui,Mainland China,2020/1/24  12pm,15,,,4,19
Fujian,Mainland China,2020/1/24  12pm,10,,,2,12
Henan,Mainland China,2020/1/24  12pm,9,,,42,51
Jiangsu,Mainland China,2020/1/24  12pm,9,,,,9
Hainan,Mainland China,2020/1/24  12pm,8,,,32,40
Tianjin,Mainland China,2020/1/24  12pm,8,,,,8
Yunnan,Mainland China,2020/1/24  12pm,5,,,,5
Shaanxi,Mainland China,2020/1/24  12pm,5,,,,5
Heilongjiang,Mainland China,2020/1/24  12pm,4,1,,,4
Liaoning,Mainland China,2020/1/24  12pm,4,,,,4
Guizhou,Mainland China,2020/1/24  12pm,3,,,,3
Jilin,Mainland China,2020/1/24  12pm,3,,,,3
Taiwan,Taiwan,2020/1/24  12pm,3,,,,3
Ningxia,Mainland China,2020/1/24  12pm,2,,,1,3
Hong Kong,Hong Kong,2020/1/24  12pm,2,,,36,38
Macau,Macau,2020/1/24  12pm,2,,,,2
Hebei,Mainland China,2020/1/24  12pm,2,1,,,2
Gansu,Mainland China,2020/1/24  12pm,2,,,,2
Xinjiang,Mainland China,2020/1/24  12pm,2,,,,2
Shanxi,Mainland China,2020/1/24  12pm,1,,,,1
Inner Mongolia,Mainland China,2020/1/24  12pm,1,,,2,3
Qinghai,Mainland China,2020/1/24  12pm,,,,1,1
Washington,US,2020/1/24  12pm,1,,,,1
Chicago,US,2020/1/24  12pm,1,,,,1
,Japan,2020/1/24  12pm,2,,,,2
,Thailand,2020/1/24  12pm,5,,,,5
,South Korea,2020/1/24  12pm,2,,,,2
,Singapore ,2020/1/24  12pm,3,,,,3
,Vietnam,2020/1/24  12pm,2,,,,2
,France,2020/1/24  4pm,2,,,,
