Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-04T12:53:03,67332,2871,38557,30.9756,112.2707
,South Korea,2020-03-04T19:23:03,5621,35,41,36.0,128.0
,Italy,2020-03-04T19:23:03,3089,107,276,43.0,12.0
,Iran,2020-03-04T12:33:03,2922,92,552,32.0,53.0
Guangdong,Mainland China,2020-03-04T10:03:19,1350,7,1133,23.3417,113.4244
Henan,Mainland China,2020-03-04T00:33:05,1272,22,1234,33.882,113.614
Zhejiang,Mainland China,2020-03-04T10:03:19,1213,1,1114,29.1832,120.0934
Hunan,Mainland China,2020-03-04T15:43:02,1018,4,916,27.6104,111.7088
Anhui,Mainland China,2020-03-04T10:03:19,990,6,956,31.8257,117.2264
Jiangxi,Mainland China,2020-03-04T01:33:07,935,1,884,27.614,115.7221
Shandong,Mainland China,2020-03-04T12:53:03,758,6,516,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-03T03:13:06,706,6,10,35.4437,139.638
Jiangsu,Mainland China,2020-03-04T12:53:03,631,0,577,32.9711,119.455
Chongqing,Mainland China,2020-03-04T23:23:01,576,6,502,30.0572,107.874
Sichuan,Mainland China,2020-03-04T12:53:03,538,3,406,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-04T12:53:03,480,13,373,47.862,127.7615
Beijing,Mainland China,2020-03-04T23:23:01,418,8,297,40.1824,116.4142
Shanghai,Mainland China,2020-03-04T04:13:08,338,3,298,31.202,121.4491
,Japan,2020-03-04T19:23:03,331,6,43,36.0,138.0
Hebei,Mainland China,2020-03-04T10:03:19,318,6,301,38.0428,114.5149
Fujian,Mainland China,2020-03-04T12:53:03,296,1,270,26.0789,117.9874
,France,2020-03-04T20:43:02,285,4,12,47.0,2.0
,Germany,2020-03-04T19:33:03,262,0,16,51.0,9.0
Guangxi,Mainland China,2020-03-04T00:13:08,252,2,210,23.8298,108.7881
Shaanxi,Mainland China,2020-03-04T15:43:03,245,1,223,35.1917,108.8701
,Spain,2020-03-04T20:43:02,222,2,2,40.0,-4.0
Yunnan,Mainland China,2020-03-03T03:43:02,174,2,169,24.974,101.487
