Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-05T14:53:03,67466,2902,40592,30.9756,112.2707
,South Korea,2020-03-05T09:03:09,6088,35,41,36.0000,128.0000
,Italy,2020-03-05T17:43:03,3858,148,414,43.0000,12.0000
,Iran,2020-03-05T13:43:04,3513,107,739,32.0000,53.0000
Guangdong,Mainland China,2020-03-05T09:23:03,1351,7,1181,23.3417,113.4244
Henan,Mainland China,2020-03-05T01:48:26,1272,22,1239,33.8820,113.6140
Zhejiang,Mainland China,2020-03-05T09:43:03,1215,1,1124,29.1832,120.0934
Hunan,Mainland China,2020-03-05T08:43:03,1018,4,938,27.6104,111.7088
Anhui,Mainland China,2020-03-05T04:33:02,990,6,970,31.8257,117.2264
Jiangxi,Mainland China,2020-03-05T01:16:58,935,1,901,27.6140,115.7221
Shandong,Mainland China,2020-03-05T14:53:03,758,6,578,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-03T03:13:06,706,6,10,35.4437,139.6380
Jiangsu,Mainland China,2020-03-05T14:53:03,631,0,583,32.9711,119.4550
Chongqing,Mainland China,2020-03-05T23:23:02,576,6,512,30.0572,107.8740
Sichuan,Mainland China,2020-03-05T14:53:03,539,3,425,30.6171,102.7103
,Germany,2020-03-05T17:43:03,482,0,16,51.0000,9.0000
Heilongjiang,Mainland China,2020-03-05T00:23:06,481,13,379,47.8620,127.7615
Beijing,Mainland China,2020-03-04T23:23:01,418,8,297,40.1824,116.4142
,France,2020-03-05T15:13:22,377,6,12,47.0000,2.0000
,Japan,2020-03-05T13:43:04,360,6,43,36.0000,138.0000
Shanghai,Mainland China,2020-03-05T06:23:06,339,3,303,31.2020,121.4491
Hebei,Mainland China,2020-03-05T14:53:03,318,6,304,38.0428,114.5149
Fujian,Mainland China,2020-03-05T09:33:03,296,1,277,26.0789,117.9874
,Spain,2020-03-05T17:43:03,259,3,2,40.0000,-4.0000
Guangxi,Mainland China,2020-03-05T10:03:08,252,2,214,23.8298,108.7881
Shaanxi,Mainland China,2020-03-05T06:03:08,245,1,224,35.1917,108.8701
Yunnan,Mainland China,2020-03-03T03:43:02,174,2,169,24.9740,101.4870
Hainan,Mainland China,2020-03-05T06:13:10,168,6,158,19.1959,109.7453
Guizhou,Mainland China,2020-03-02T01:13:06,146,2,114,26.8154,106.8748
Tianjin,Mainland China,2020-03-05T03:33:27,136,3,128,39.3054,117.3230
Shanxi,Mainland China,2020-03-05T14:53:03,133,0,126,37.5777,112.2922
Liaoning,Mainland China,2020-03-03T14:33:03,125,1,106,41.2956,122.6085
,Singapore,2020-03-05T13:43:04,117,0,78,1.2833,103.8333
,UK,2020-03-05T18:03:03,115,1,8,55.0000,-3.0000
,Switzerland,2020-03-05T17:43:03,114,1,3,46.8182,8.2275
Hong Kong,Hong Kong,2020-03-05T00:23:07,105,2,43,22.3000,114.2000
Gansu,Mainland China,2020-03-05T15:13:13,102,2,87,36.0611,103.8343
,Sweden,2020-03-05T18:03:03,94,0,0,63.0000,16.0000
Jilin,Mainland China,2020-03-05T14:53:03,93,1,88,43.6661,126.1923
,Norway,2020-03-05T17:43:03,87,0,0,60.4720,8.4689
,Netherlands,2020-03-05T14:23:03,82,0,0,52.1326,5.2913
Xinjiang,Mainland China,2020-03-05T06:03:08,76,3,70,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-05T23:53:01,75,1,65,44.0935,113.9448
