Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-01-31T23:59:00Z,5806,204,141,,
Zhejiang,Mainland China,2020-01-31T23:59:00Z,538,,14,,
Guangdong,Mainland China,2020-01-31T23:59:00Z,436,,11,,
Henan,Mainland China,2020-01-31T23:59:00Z,352,2,3,,
Hunan,Mainland China,2020-01-31T23:59:00Z,332,,2,,
Jiangxi,Mainland China,2020-01-31T23:59:00Z,240,,7,,
Anhui,Mainland China,2020-01-31T23:59:00Z,237,,3,,
Chongqing,Mainland China,2020-01-31T23:59:00Z,211,,1,,
Shandong,Mainland China,2020-01-31T23:59:00Z,184,,2,,
Sichuan,Mainland China,2020-01-31T23:59:00Z,177,1,1,,
Jiangsu,Mainland China,2020-01-31T23:59:00Z,168,,5,,
Beijing,Mainland China,2020-01-31T23:59:00Z,139,1,5,,
Shanghai,Mainland China,2020-01-31T23:59:00Z,135,1,9,,
Fujian,Mainland China,2020-01-31T23:59:00Z,120,,,,
Guangxi,Mainland China,2020-01-31T23:59:00Z,87,,2,,
Shaanxi,Mainland China,2020-01-31T23:59:00Z,87,,,,
Yunnan,Mainland China,2020-01-31T23:59:00Z,83,,1,,
Hebei,Mainland China,2020-01-31T23:59:00Z,82,1,,,
Heilongjiang,Mainland China,2020-01-31T23:59:00Z,59,2,,,
Hainan,Mainland China,2020-01-31T23:59:00Z,52,1,1,,
Liaoning,Mainland China,2020-01-31T23:59:00Z,48,,1,,
Shanxi,Mainland China,2020-01-31T23:59:00Z,39,,1,,
Tianjin,Mainland China,2020-01-31T23:59:00Z,32,,,,
Guizhou,Mainland China,2020-01-31T23:59:00Z,29,,2,,
Gansu,Mainland China,2020-01-31T23:59:00Z,29,,,,
Ningxia,Mainland China,2020-01-31T23:59:00Z,21,,,,
Inner Mongolia,Mainland China,2020-01-31T23:59:00Z,20,,1,,
Xinjiang,Mainland China,2020-01-31T23:59:00Z,17,,,,
Jilin,Mainland China,2020-01-31T23:59:00Z,14,,1,,
Hong Kong,Hong Kong,2020-01-31T23:59:00Z,12,,,,
Taiwan,Taiwan,2020-01-31T23:59:00Z,10,,,,
Qinghai,Mainland China,2020-01-31T23:59:00Z,8,,,,
Macau,Macau,2020-01-31T23:59:00Z,7,,,,
Tibet,Mainland China,2020-01-31T23:59:00Z,1,,,,
,Thailand,2020-01-31T23:59:00Z,19,,5,,
,Japan,2020-01-31T23:59:00Z,15,,1,,
,Singapore,2020-01-31T23:59:00Z,13,,,,
,South Korea,2020-01-31T23:59:00Z,11,,,,
,Malaysia,2020-01-31T23:59:00Z,8,,,,
,France,2020-01-31T23:59:00Z,5,,,,
Bavaria,Germany,2020-01-31T23:59:00Z,5,,,,
New South Wales,Australia,2020-01-31T23:59:00Z,4,,2,,
,United Arab Emirates,2020-01-31T23:59:00Z,4,,,,
Victoria,Australia,2020-01-31T23:59:00Z,3,,,,
Illinois,US,2020-01-31T23:59:00Z,2,,,,
California,US,2020-01-31T23:59:00Z,2,,,,
,Vietnam,2020-01-31T23:59:00Z,2,,,,
Ontario,Canada,2020-01-31T23:59:00Z,2,,,,
Queensland,Australia,2020-01-31T23:59:00Z,2,,,,
,Italy,2020-01-31T23:59:00Z,2,,,,
,UK,2020-01-31T23:59:00Z,2,,,,
,Russia,2020-01-31T23:59:00Z,2,,,,
Washington,US,2020-01-31T23:59:00Z,1,,,,
Arizona,US,2020-01-31T23:59:00Z,1,,,,
,Nepal,2020-01-31T23:59:00Z,1,,,,
British Columbia,Canada,2020-01-31T23:59:00Z,1,,,,
,Cambodia,2020-01-31T23:59:00Z,1,,,,
,Sri Lanka,2020-01-31T23:59:00Z,1,,,,
,Finland,2020-01-31T23:59:00Z,1,,,,
,Philippines,2020-01-31T23:59:00Z,1,,,,
,India,2020-01-31T23:59:00Z,1,,,,
,Sweden,2020-01-31T23:59:00Z,1,,,,
