Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-02-09T23:33:02Z,29631,871,1795,,
Guangdong,Mainland China,2020-02-09T15:03:05Z,1131,1,141,,
Zhejiang,Mainland China,2020-02-09T12:03:04Z,1075,0,201,,
Henan,Mainland China,2020-02-09T11:23:08Z,1033,6,153,,
Hunan,Mainland China,2020-02-09T12:33:01Z,838,1,186,,
Anhui,Mainland China,2020-02-09T09:33:02Z,779,1,72,,
Jiangxi,Mainland China,2020-02-09T11:33:12Z,740,0,73,,
Chongqing,Mainland China,2020-02-09T23:53:02Z,468,2,51,,
Jiangsu,Mainland China,2020-02-09T10:23:11Z,468,0,71,,
Shandong,Mainland China,2020-02-09T15:03:05Z,444,1,63,,
Sichuan,Mainland China,2020-02-09T12:43:01Z,386,1,71,,
Beijing,Mainland China,2020-02-09T03:43:02Z,326,2,37,,
Heilongjiang,Mainland China,2020-02-09T08:43:05Z,307,6,14,,
Shanghai,Mainland China,2020-02-09T06:33:01Z,293,1,44,,
Fujian,Mainland China,2020-02-09T09:13:11Z,250,0,35,,
Shaanxi,Mainland China,2020-02-09T03:03:09Z,208,0,25,,
Hebei,Mainland China,2020-02-09T12:43:01Z,206,2,34,,
Guangxi,Mainland China,2020-02-09T00:33:07Z,195,1,18,,
Yunnan,Mainland China,2020-02-09T08:53:02Z,141,0,18,,
Hainan,Mainland China,2020-02-09T13:33:02Z,131,3,19,,
Shanxi,Mainland China,2020-02-09T23:43:02Z,119,0,25,,
Liaoning,Mainland China,2020-02-09T12:23:03Z,107,0,12,,
Guizhou,Mainland China,2020-02-09T09:53:02Z,99,1,7,,
Tianjin,Mainland China,2020-02-09T23:43:02Z,91,1,4,,
Gansu,Mainland China,2020-02-09T23:33:02Z,83,2,16,,
Jilin,Mainland China,2020-02-09T09:03:04Z,78,1,12,,
Diamond Princess cruise ship,Others,2020-02-09T06:13:11Z,64,0,0,,
Inner Mongolia,Mainland China,2020-02-09T02:23:07Z,54,0,5,,
Ningxia,Mainland China,2020-02-09T02:03:11Z,45,0,13,,
Xinjiang,Mainland China,2020-02-09T01:23:08Z,45,0,0,,
,Singapore,2020-02-09T02:43:02Z,40,0,2,,
,Thailand,2020-02-08T12:53:01Z,32,0,10,,
Hong Kong,Hong Kong,2020-02-09T09:53:02Z,29,1,0,,
,Japan,2020-02-09T06:13:11Z,26,0,1,,
,South Korea,2020-02-09T02:33:02Z,25,0,3,,
Qinghai,Mainland China,2020-02-06T02:13:15Z,18,0,3,,
Taiwan,Taiwan,2020-02-09T09:13:11Z,18,0,1,,
,Malaysia,2020-02-08T10:23:04Z,16,0,1,,
,Germany,2020-02-09T06:13:11Z,14,0,0,,
,Vietnam,2020-02-08T07:23:04Z,13,0,1,,
,France,2020-02-08T09:53:01Z,11,0,0,,
Macau,Macau,2020-02-06T14:23:04Z,10,0,1,,
,United Arab Emirates,2020-02-08T07:03:16Z,7,0,0,,
Queensland,Australia,2020-02-09T19:33:02Z,5,0,0,,
New South Wales,Australia,2020-02-06T03:13:22Z,4,0,2,,
Victoria,Australia,2020-02-01T18:12:49Z,4,0,0,,
British Columbia,Canada,2020-02-07T05:43:03Z,4,0,0,,
,India,2020-02-03T21:43:02Z,3,0,0,,
,Italy,2020-02-07T17:53:02Z,3,0,0,,
,Philippines,2020-02-07T16:43:04Z,3,1,0,,
,UK,2020-02-07T18:33:02Z,3,0,0,,
South Australia,Australia,2020-02-02T22:33:07Z,2,0,0,,
"Toronto, ON",Canada,2020-02-04T00:13:06Z,2,0,0,,
,Russia,2020-01-31T16:13:45Z,2,0,0,,
,Spain,2020-02-09T20:33:03Z,2,0,0,,
"Chicago, IL",US,2020-02-09T19:03:03Z,2,0,2,,
"San Benito, CA",US,2020-02-03T03:53:02Z,2,0,0,,
"Santa Clara, CA",US,2020-02-03T00:43:02Z,2,0,0,,
,Belgium,2020-02-04T15:43:02Z,1,0,0,,
,Cambodia,2020-01-31T08:15:53Z,1,0,0,,
"London, ON",Canada,2020-02-04T00:03:11Z,1,0,0,,
,Finland,2020-01-31T08:15:53Z,1,0,0,,
Tibet,Mainland China,2020-02-01T01:52:40Z,1,0,0,,
,Nepal,2020-01-31T08:15:53Z,1,0,0,,
,Sri Lanka,2020-02-08T03:43:03Z,1,0,1,,
,Sweden,2020-02-01T02:13:26Z,1,0,0,,
"Boston, MA",US,2020-02-01T19:43:03Z,1,0,0,,
"Los Angeles, CA",US,2020-02-01T19:53:03Z,1,0,0,,
"Madison, WI",US,2020-02-05T21:53:02Z,1,0,0,,
"Orange, CA",US,2020-02-01T19:53:03Z,1,0,0,,
"Seattle, WA",US,2020-02-09T07:03:04Z,1,0,1,,
"Tempe, AZ",US,2020-02-01T19:43:03Z,1,0,0,,
