Province/State,Country/Region,CountryAlpha2,CountryAlpha3,M49Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,CN,CHN,Asia,2020-02-17T23:13:06,59989,1789,7862
Guangdong,Mainland China,CN,CHN,Asia,2020-02-17T12:43:02,1322,4,524
Henan,Mainland China,CN,CHN,Asia,2020-02-17T14:53:02,1246,16,509
Zhejiang,Mainland China,CN,CHN,Asia,2020-02-17T11:23:06,1171,0,507
Hunan,Mainland China,CN,CHN,Asia,2020-02-17T11:43:01,1006,3,498
Anhui,Mainland China,CN,CHN,Asia,2020-02-17T09:13:07,973,6,280
Jiangxi,Mainland China,CN,CHN,Asia,2020-02-17T01:33:02,930,1,275
Jiangsu,Mainland China,CN,CHN,Asia,2020-02-17T10:23:04,626,0,258
Chongqing,Mainland China,CN,CHN,Asia,2020-02-17T23:13:06,553,5,225
Shandong,Mainland China,CN,CHN,Asia,2020-02-17T11:03:06,541,2,191
Sichuan,Mainland China,CN,CHN,Asia,2020-02-17T13:13:09,495,3,156
Heilongjiang,Mainland China,CN,CHN,Asia,2020-02-17T08:03:06,457,11,85
Diamond Princess cruise ship,Others,,,,2020-02-17T14:33:04,454,0,0
Beijing,Mainland China,CN,CHN,Asia,2020-02-17T01:23:02,381,4,114
Shanghai,Mainland China,CN,CHN,Asia,2020-02-17T23:53:02,333,1,161
Hebei,Mainland China,CN,CHN,Asia,2020-02-17T13:03:06,301,3,122
Fujian,Mainland China,CN,CHN,Asia,2020-02-17T10:23:04,290,0,90
Shaanxi,Mainland China,CN,CHN,Asia,2020-02-17T11:43:01,240,0,79
Guangxi,Mainland China,CN,CHN,Asia,2020-02-17T10:23:04,238,2,53
Yunnan,Mainland China,CN,CHN,Asia,2020-02-17T10:23:04,171,0,47
Hainan,Mainland China,CN,CHN,Asia,2020-02-17T11:03:06,163,4,59
Guizhou,Mainland China,CN,CHN,Asia,2020-02-17T11:13:16,146,1,57
Shanxi,Mainland China,CN,CHN,Asia,2020-02-17T22:53:01,130,0,53
Tianjin,Mainland China,CN,CHN,Asia,2020-02-17T12:43:02,125,3,46
