Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20
Anhui,Mainland China,31.825709999999997,117.2264,0,0,0,0,0,0,0,2,2,3,5,7,14,20,23,34,47,59,72,88,105,127,157,193,221,255,280,361,413,474
Beijing,Mainland China,40.18238,116.4142,0,0,1,2,2,2,4,4,4,5,9,9,12,23,24,31,33,34,37,44,48,56,69,80,98,108,114,122,145,153
Chongqing,Mainland China,30.05718,107.874,0,0,0,0,0,0,0,1,1,1,3,7,9,9,15,24,31,39,51,66,79,102,128,152,184,207,225,254,274,299
Fujian,Mainland China,26.07783,117.9895,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,14,20,24,35,39,45,53,57,63,71,82,90,93,112,126
Gansu,Mainland China,36.0611,103.8343,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,6,9,12,16,17,24,31,39,39,49,54,58,62,65,71
Guangdong,Mainland China,23.33841,113.42200000000001,0,2,2,2,2,4,4,5,10,11,14,15,21,30,49,69,88,112,141,167,212,275,314,362,410,465,524,565,606,642
Guangxi,Mainland China,23.829079999999998,108.7881,0,0,0,0,0,0,2,2,2,2,2,2,7,10,13,14,17,17,18,24,33,32,33,36,44,49,53,69,86,90
Guizhou,Mainland China,26.81536,106.8748,0,0,0,0,0,0,0,1,1,2,2,2,2,2,9,6,6,7,7,10,17,18,27,28,41,46,57,66,70,72
Hainan,Mainland China,19.19673,109.7455,0,0,0,0,0,0,0,0,1,1,1,4,4,5,5,8,10,14,19,19,20,27,30,43,39,52,59,79,84,86
Hebei,Mainland China,38.0428,114.5149,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,13,22,30,34,41,48,54,68,87,101,105,122,136,152,169
Heilongjiang,Mainland China,47.861999999999995,127.7622,0,0,0,0,0,0,0,0,0,0,2,2,2,4,7,8,12,13,14,30,28,31,33,47,68,79,85,111,120,136
Henan,Mainland China,33.882020000000004,113.61399999999999,0,0,0,0,0,0,0,1,2,3,3,10,16,27,47,56,86,116,153,191,218,246,296,357,391,440,509,522,573,637
Hubei,Mainland China,30.975640000000002,112.2707,28,28,31,32,42,45,80,88,90,141,168,295,386,522,633,817,1115,1439,1795,2222,2639,2686,3459,4774,5623,6639,7862,9128,10337,11788
Hunan,Mainland China,27.610409999999998,111.7088,0,0,0,0,0,0,0,0,2,2,8,16,22,31,54,81,112,156,186,208,247,304,339,364,425,464,498,527,561,634
Inner Mongolia,Mainland China,44.09448,113.9456,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,5,5,5,5,5,6,6,6,7,8,8,8,10,16
