08/03/2020 23:30:00 1583681400 5.56 537 21 5.56
09/03/2020 04:30:00 1583699400 5.0 589 22 10.56
10/03/2020 05:30:00 1583789400 25.0 708 27 35.56
10/03/2020 23:35:00 1583854500 18.08 975 30 53.64
11/03/2020 04:25:00 1583871900 4.83 1010 31 58.47
11/03/2020 15:17:00 1583911020 10.87 1016 31 69.34
11/03/2020 23:35:00 1583940900 8.3 1301 38 77.64
12/03/2020 03:25:00 1583954700 3.83 1327 38 81.47
12/03/2020 11:37:00 1583984220 8.2 1336 38 89.67
12/03/2020 22:00:00 1584021600 10.38 1639 40 100.05
13/03/2020 00:05:00 1584029100 2.08 1715 41 102.13
13/03/2020 01:35:00 1584034500 1.5 1725 41 103.63
13/03/2020 03:45:00 1584042300 2.17 1747 41 105.8
13/03/2020 06:00:00 1584050400 2.25 1762 41 108.05
13/03/2020 15:25:00 1584084300 9.42 1832 41 117.47
13/03/2020 22:25:00 1584109500 7.0 2269 48 124.47
14/03/2020 02:40:00 1584124800 4.25 2291 50 128.72
14/03/2020 07:14:00 1584141240 4.57 2319 50 133.29
14/03/2020 16:45:00 1584175500 9.52 2499 51 142.81
14/03/2020 23:03:00 1584198180 6.3 2836 57 149.11
15/03/2020 05:00:00 1584219600 5.95 2982 60 155.06
15/03/2020 05:40:00 1584222000 0.67 2995 60 155.73
15/03/2020 07:05:00 1584227100 1.42 3043 60 157.15
15/03/2020 19:00:00 1584270000 11.92 3329 63 169.07
15/03/2020 20:05:00 1584273900 1.08 3400 63 170.15
15/03/2020 21:15:00 1584278100 1.17 3621 63 171.32
15/03/2020 22:15:00 1584281700 1.0 3502 63 172.32
16/03/2020 00:35:00 1584290100 2.33 3714 68 174.65
16/03/2020 02:48:00 1584298080 2.22 3777 69 176.87
16/03/2020 05:36:00 1584308160 2.8 3782 69 179.67
16/03/2020 08:29:00 1584318540 2.88 3802 69 182.55
16/03/2020 18:40:00 1584355200 10.18 4186 73 192.73
16/03/2020 22:40:00 1584369600 4.0 4597 86 196.73
17/03/2020 00:45:00 1584377100 2.08 4667 87 198.81
17/03/2020 02:40:00 1584384000 1.92 4704 91 200.73
17/03/2020 06:35:00 1584398100 3.92 4727 93 204.65
17/03/2020 10:31:00 1584412260 3.93 4743 93 208.58
17/03/2020 14:38:00 1584427080 4.12 4752 93 212.7
17/03/2020 18:41:00 1584441660 4.05 5723 97 216.75
17/03/2020 21:55:00 1584453300 3.23 6211 102 219.98
17/03/2020 22:40:00 1584456000 0.75 6349 106 220.73
18/03/2020 02:20:00 1584469200 3.67 6499 112 224.4
18/03/2020 06:05:00 1584482700 3.75 6522 116 228.15
18/03/2020 10:10:00 1584497400 4.08 6524 116 232.23
18/03/2020 16:15:00 1584519300 6.08 7601 116 238.31
18/03/2020 18:16:00 1584526560 2.02 7708 120 240.33
18/03/2020 20:21:00 1584534060 2.08 8710 132 242.41
18/03/2020 22:10:00 1584540600 1.82 8998 150 244.23
19/03/2020 02:17:00 1584555420 4.12 9371 153 248.35
19/03/2020 10:16:00 1584584160 7.98 9464 155 256.33
19/03/2020 12:18:00 1584591480 2.03 9473 155 258.36
19/03/2020 14:15:00 1584598500 1.95 9486 157 260.31
19/03/2020 16:22:00 1584606120 2.12 10692 160 262.43
19/03/2020 18:17:00 1584613020 1.92 11355 171 264.35
19/03/2020 22:45:00 1584629100 4.47 13737 201 268.82
20/03/2020 00:48:00 1584636480 2.05 13865 211 270.87
20/03/2020 02:40:00 1584643200 1.87 14316 218 272.74
20/03/2020 04:34:00 1584650040 1.9 14336 218 274.64
20/03/2020 06:35:00 1584657300 2.02 14366 217 276.66
20/03/2020 08:10:00 1584663000 1.58 14366 217 278.24
20/03/2020 10:11:00 1584670260 2.02 14366 217 280.26
20/03/2020 12:11:00 1584677460 2.0 14366 217 282.26
20/03/2020 14:10:00 1584684600 1.98 14373 218 284.24
20/03/2020 16:11:00 1584691860 2.02 16067 219 286.26
20/03/2020 18:12:00 1584699120 2.02 16545 225 288.28
20/03/2020 20:12:00 1584706320 2.0 18121 233 290.28
20/03/2020 22:12:00 1584713520 2.0 18876 237 292.28
21/03/2020 00:06:00 1584720360 1.9 19393 256 294.18
21/03/2020 02:07:00 1584727620 2.02 19643 263 296.2
21/03/2020 04:08:00 1584734880 2.02 19652 264 298.22
21/03/2020 06:05:00 1584741900 1.95 19774 275 300.17
21/03/2020 08:10:00 1584749400 2.08 19774 275 302.25
21/03/2020 10:12:00 1584756720 2.03 19774 275 304.28
21/03/2020 12:46:00 1584765960 2.57 19775 276 306.85
21/03/2020 14:48:00 1584773280 2.03 19823 276 308.88
21/03/2020 16:48:00 1584780480 2.0 22085 282 310.88
21/03/2020 18:45:00 1584787500 1.95 22813 288 312.83
21/03/2020 20:45:00 1584794700 2.0 24142 288 314.83
21/03/2020 22:45:00 1584801900 2.0 23940 301 316.83
22/03/2020 00:40:00 1584808800 1.92 26111 324 318.75
22/03/2020 02:40:00 1584816000 2.0 26711 341 320.75
22/03/2020 04:45:00 1584823500 2.08 26867 348 322.83
22/03/2020 06:30:00 1584829800 1.75 26892 348 324.58
22/03/2020 08:45:00 1584837900 2.25 26892 348 326.83
22/03/2020 10:45:00 1584845100 2.0 26900 348 328.83
22/03/2020 12:48:00 1584852480 2.05 26905 348 330.88
22/03/2020 14:45:00 1584859500 1.95 27031 349 332.83
22/03/2020 16:42:00 1584866520 1.95 30239 388 334.78
22/03/2020 18:48:00 1584874080 2.1 38757 400 336.88
22/03/2020 20:44:00 1584881040 1.93 32356 414 338.81
22/03/2020 21:41:00 1584884460 0.95 32356 414 339.76
23/03/2020 00:44:00 1584895440 3.05 33346 414 342.81
23/03/2020 02:37:00 1584902220 1.88 33546 419 344.69
23/03/2020 03:55:00 1584906900 1.3 34717 452 345.99
23/03/2020 06:45:00 1584917100 2.83 35060 457 348.82
23/03/2020 08:47:00 1584924420 2.03 35070 458 350.85
23/03/2020 10:47:00 1584931620 2.0 35070 458 352.85
23/03/2020 12:46:00 1584938760 1.98 35075 458 354.83
23/03/2020 14:45:00 1584945900 1.98 35179 459 356.81
23/03/2020 16:45:00 1584953100 2.0 40773 479 358.81
23/03/2020 18:46:00 1584960360 2.02 41569 504 360.83
23/03/2020 20:47:00 1584967620 2.02 42443 517 362.85
23/03/2020 22:31:00 1584973860 1.73 43449 545 364.58
24/03/2020 00:47:00 1584982020 2.27 43718 552 366.85
24/03/2020 02:33:00 1584988380 1.77 43734 553 368.62
24/03/2020 04:46:00 1584996360 2.22 46145 582 370.84
24/03/2020 06:43:00 1585003380 1.95 46145 582 372.79
24/03/2020 08:48:00 1585010880 2.08 46145 582 374.87
24/03/2020 10:47:00 1585018020 1.98 46168 582 376.85
24/03/2020 12:47:00 1585025220 2.0 46168 582 378.85
24/03/2020 14:47:00 1585032420 2.0 46274 588 380.85
24/03/2020 16:47:00 1585039620 2.0 49594 622 382.85
24/03/2020 18:45:00 1585046700 1.97 50982 655 384.82
24/03/2020 20:42:00 1585053720 1.95 52921 684 386.77
24/03/2020 22:48:00 1585061280 2.1 53205 687 388.87
25/03/2020 00:29:00 1585067340 1.68 53655 698 390.55
25/03/2020 02:44:00 1585075440 2.25 54823 778 392.8
25/03/2020 04:46:00 1585082760 2.03 54867 782 394.83
25/03/2020 06:47:00 1585090020 2.02 54916 784 396.85
25/03/2020 08:48:00 1585097280 2.02 54935 784 398.87
25/03/2020 10:43:00 1585104180 1.92 54941 784 400.79
25/03/2020 12:48:00 1585111680 2.08 54979 785 402.87
25/03/2020 14:48:00 1585118880 2.0 55081 785 404.87
25/03/2020 16:48:00 1585126080 2.0 60642 817 406.87
25/03/2020 18:48:00 1585133280 2.0 62364 878 408.87
25/03/2020 20:33:00 1585139580 1.75 64765 910 410.62
25/03/2020 22:44:00 1585147440 2.18 65527 928 412.8
26/03/2020 00:34:00 1585154040 1.83 65797 935 414.63
26/03/2020 02:43:00 1585161780 2.15 66741 963 416.78
26/03/2020 05:24:00 1585171440 2.68 68472 1032 419.46
26/03/2020 07:03:00 1585177380 1.65 68489 1032 421.11
26/03/2020 09:02:00 1585184520 1.98 68489 1032 423.09
26/03/2020 11:02:00 1585191720 2.0 68581 1036 425.09
26/03/2020 13:01:00 1585198860 1.98 68594 1036 427.07
26/03/2020 14:52:00 1585205520 1.85 68905 1037 428.92
26/03/2020 17:02:00 1585213320 2.17 75069 1080 431.09
26/03/2020 19:00:00 1585220400 1.97 79082 1143 433.06
26/03/2020 21:01:00 1585227660 2.02 81946 1177 435.08
26/03/2020 23:02:00 1585234920 2.02 83206 1201 437.1
27/03/2020 01:00:00 1585242000 1.97 85280 1293 439.07
27/03/2020 03:01:00 1585249260 2.02 85520 1297 441.09
27/03/2020 04:36:00 1585254960 1.58 85594 1300 442.67
27/03/2020 07:33:00 1585265580 2.95 85612 1301 445.62
27/03/2020 09:32:00 1585272720 1.98 85612 1301 447.6
27/03/2020 11:31:00 1585279860 1.98 85749 1304 449.58
27/03/2020 13:32:00 1585287120 2.02 85755 1304 451.6
27/03/2020 15:33:00 1585294380 2.02 86548 1321 453.62
27/03/2020 17:32:00 1585301520 1.98 94425 1429 455.6
27/03/2020 19:33:00 1585308780 2.02 98180 1513 457.62
27/03/2020 21:33:00 1585315980 2.0 100514 1546 459.62
27/03/2020 23:33:00 1585323180 2.0 102325 1591 461.62
28/03/2020 01:32:00 1585330320 1.98 104126 1692 463.6
28/03/2020 03:34:00 1585337640 2.03 104205 1704 465.63
28/03/2020 05:35:00 1585344900 2.02 104205 1704 467.65
28/03/2020 07:35:00 1585352100 2.0 104256 1704 469.65
28/03/2020 09:35:00 1585359300 2.0 104256 1704 471.65
28/03/2020 11:40:00 1585366800 2.08 104256 1704 473.73
28/03/2020 13:36:00 1585373760 1.93 104277 1704 475.66
28/03/2020 15:45:00 1585381500 2.15 105726 1730 477.81
28/03/2020 17:45:00 1585388700 2.0 116050 1937 479.81
28/03/2020 19:43:00 1585395780 1.97 118592 1979 481.78
28/03/2020 21:44:00 1585403040 2.02 120204 1997 483.8
28/03/2020 23:43:00 1585410180 1.98 123311 2211 485.78
29/03/2020 01:46:00 1585417560 2.05 123578 2221 487.83
29/03/2020 03:46:00 1585424760 2.0 123750 2227 489.83
29/03/2020 05:48:00 1585432080 2.03 123774 2228 491.86
29/03/2020 07:41:00 1585438860 1.88 123776 2229 493.74
29/03/2020 09:45:00 1585446300 2.07 123781 2229 495.81
29/03/2020 11:44:00 1585453440 1.98 123781 2229 497.79
