Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Afghanistan,2021-06-30 02:21:41,33.93911,67.709953,117158.0,4794.0,70016,42348,300.9581117263641,,,4.091910070161662,4,AFG
Albania,2021-06-30 02:21:41,41.1533,20.1683,132514.0,2456.0,130002,56,4604.698033219821,,,1.8533890758712288,8,ALB
Algeria,2021-06-30 02:21:41,28.0339,1.6596,139229.0,3708.0,96815,38706,317.5044205904065,,,2.6632382621436625,12,DZA
Andorra,2021-06-30 02:21:41,42.5063,1.5218,13900.0,127.0,13717,56,17990.0342975474,,,0.9136690647482014,20,AND
Angola,2021-06-30 02:21:41,-11.2027,17.8739,38682.0,894.0,33079,4709,117.69513958810292,,,2.3111524740189235,24,AGO
Antigua and Barbuda,2021-06-30 02:21:41,17.0608,-61.7964,1263.0,42.0,1221,0,1289.7230618413528,,,3.32541567695962,28,ATG
Argentina,2021-06-30 02:21:41,-38.4161,-63.6167,4447701.0,93668.0,4062245,291788,9840.96589378251,,,2.1059868907554713,32,ARG
Armenia,2021-06-30 02:21:41,40.0691,45.0382,224967.0,4514.0,216718,3735,7591.941777125938,,,2.0065165113105476,51,ARM
Australia,2021-06-30 02:21:41,-25.0,133.0,30596.0,910.0,23806,5880,120.17423614575192,,,2.9742449993463196,36,AUS
Austria,2021-06-30 02:21:41,47.5162,14.5501,650353.0,10700.0,637613,2040,7221.009504352461,,,1.645260343228985,40,AUT
Azerbaijan,2021-06-30 02:21:41,40.1431,47.5769,335961.0,4973.0,330193,795,3313.494441115771,,,1.4802313363753532,31,AZE
Bahamas,2021-06-30 02:21:41,25.025885,-78.035889,12586.0,246.0,11544,796,3200.5248596305637,,,1.9545526775782616,44,BHS
Bahrain,2021-06-30 02:21:41,26.0275,50.55,265643.0,1351.0,260363,3929,15611.521741813358,,,0.5085773011146538,48,BHR
Bangladesh,2021-06-30 02:21:41,23.685,90.3563,904436.0,14388.0,811700,78348,549.1768707397489,,,1.5908256637285556,50,BGD
Barbados,2021-06-30 02:21:41,13.1939,-59.5432,4079.0,47.0,3999,33,1419.4194960521418,,,1.152243196861976,52,BRB
Belarus,2021-06-30 02:21:41,53.7098,27.9534,416275.0,3132.0,408878,4265,4405.342987078119,,,0.7523872440093688,112,BLR
Belgium,2021-06-30 02:21:41,50.8333,4.469936,1084550.0,25170.0,,1059380,9357.94594057301,,,2.320778202941312,56,BEL
Belize,2021-06-30 02:21:41,17.1899,-88.4976,13227.0,329.0,12648,250,3326.534564321301,,,2.487336508656536,84,BLZ
Benin,2021-06-30 02:21:41,9.3077,2.3158,8199.0,104.0,8000,95,67.6306697292249,,,1.2684473716306868,204,BEN
Bhutan,2021-06-30 02:21:41,27.5142,90.4336,2076.0,1.0,1773,302,269.04713768059594,,,0.04816955684007707,64,BTN
Bolivia,2021-06-30 02:21:41,-16.2902,-63.5887,435568.0,16631.0,356575,62362,3731.405104878948,,,3.818232744370569,68,BOL
Bosnia and Herzegovina,2021-06-30 02:21:41,43.9159,17.6791,205004.0,9663.0,182986,12355,6248.569334144107,,,4.713566564554838,70,BIH
Botswana,2021-06-30 02:21:41,-22.3285,24.6849,69680.0,1125.0,63932,4623,2963.0574602668366,,,1.6145235361653272,72,BWA
