Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-20 15:32:27,32.3182,-86.9023,12701,508,,12193.0,1,259.03570842217863,157566,1453,3.9996850641681756,84000001,USA,3213.543849559011,11.440044091016455
Alaska,US,2020-05-20 15:32:27,61.3707,-152.4044,400,10,348,42.0,2,54.678796246300635,36380,,2.5,84000002,USA,4973.036518601043,
American Samoa,US,2020-05-20 15:32:27,-14.270999999999999,-170.132,0,0,,0.0,60,0.0,124,,,16,ASM,222.85724555633436,
Arizona,US,2020-05-20 15:32:27,33.7298,-111.4312,14576,705,3693,10178.0,4,200.25507242553874,161571,1746,4.836717892425906,84000004,USA,2219.7730726445334,11.978594950603732
Arkansas,US,2020-05-20 15:32:27,34.9697,-92.3731,4923,102,3739,1082.0,5,163.13186674813872,93701,535,2.071907373552712,84000005,USA,3104.9398834384206,10.867357302457851
California,US,2020-05-20 15:32:27,36.1162,-119.6816,83845,3419,,80426.0,6,212.20015892297428,1339316,,4.077762538016578,84000006,USA,3389.624522011834,
Colorado,US,2020-05-20 15:32:27,39.0598,-105.3111,22482,1257,3431,17794.0,8,390.39817070968354,131333,3899,5.59113957832933,84000008,USA,2280.5872677615366,17.342763099368383
Connecticut,US,2020-05-20 15:32:27,41.5978,-72.7554,38430,3472,6264,28694.0,9,1077.8935889312697,185520,10946,9.034608378870674,84000009,USA,5203.508160773593,28.482956023939632
Delaware,US,2020-05-20 15:32:27,39.3185,-75.5071,8037,304,3760,3973.0,10,825.3539872083995,44132,,3.7825059101654848,84000010,USA,4532.1042881026615,
Diamond Princess,US,2020-05-20 15:32:27,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-20 15:32:27,38.8974,-77.0268,7551,407,1040,6104.0,11,1069.9271270664217,39374,,5.390014567606939,84000011,USA,5579.03730646448,
Florida,US,2020-05-20 15:32:27,27.7663,-81.6868,47471,2096,,45375.0,12,221.02421684370194,715855,8744,4.415327252427798,84000012,USA,3333.0094320458434,18.419666743906806
Georgia,US,2020-05-20 15:32:27,33.0406,-83.6431,38920,1684,,37236.0,13,366.5672922704502,378156,7027,4.326824254881809,84000013,USA,3561.655215206176,18.054984583761563
Grand Princess,US,2020-05-20 15:32:27,,,103,3,,100.0,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-05-20 15:32:27,13.4443,144.7937,154,5,126,23.0,66,93.77150198807762,4827,,3.2467532467532467,316,GUM,2939.1885720548744,
Hawaii,US,2020-05-20 15:32:27,21.0943,-157.4983,641,17,574,50.0,15,45.27245400714189,45023,82,2.65210608424337,84000015,USA,3179.8778420648196,12.792511700468019
Idaho,US,2020-05-20 15:32:27,44.2405,-114.4788,2455,74,1649,732.0,16,137.3760887264873,38069,213,3.0142566191446027,84000016,USA,2130.2526768752114,8.676171079429736
