Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-05 14:32:39,32.3182,-86.9023,8112,298,0,7814.0,1,173.00444006340936,103117,1064,3.673570019723866,84000001,USA,2199.173920860279,13.116370808678502
Alaska,US,2020-05-05 14:32:39,61.3707,-152.4044,370,9,263,98.0,2,61.898890671502585,21723,,2.4324324324324325,84000002,USA,3634.1340596136506,
American Samoa,US,2020-05-05 14:32:39,-14.270999999999999,-170.132,0,0,0,0.0,60,0.0,83,,,16,ASM,149.17057565464316,
Arizona,US,2020-05-05 14:32:39,33.7298,-111.4312,8924,362,1632,6930.0,4,122.60402485767753,85253,1357,4.056476916181085,84000004,USA,1171.2641115185547,15.206185567010309
Arkansas,US,2020-05-05 14:32:39,34.9697,-92.3731,3469,80,2016,1373.0,5,133.9885601811028,54442,438,2.306140098010954,84000005,USA,2102.797691951455,12.626117036609974
California,US,2020-05-05 14:32:39,36.1162,-119.6816,56135,2289,0,53846.0,6,143.17004781091504,747874,,4.077669902912621,84000006,USA,1907.4223984419752,
Colorado,US,2020-05-05 14:32:39,39.0598,-105.3111,16918,851,2650,13417.0,8,298.5452316848994,83090,2799,5.030145407258541,84000008,USA,1466.2562537355652,16.54450880718761
Connecticut,US,2020-05-05 14:32:39,41.5978,-72.7554,29973,2556,4346,23071.0,9,840.6896836075189,102493,7758,8.527674907416674,84000009,USA,2874.7475308439407,25.883294965468924
Delaware,US,2020-05-05 14:32:39,39.3185,-75.5071,5288,182,1716,3390.0,10,543.0473913597134,24110,,3.441754916792738,84000010,USA,2475.9592673378766,
Diamond Princess,US,2020-05-05 14:32:39,,,49,0,0,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-05 14:32:39,38.8974,-77.0268,5170,258,666,4246.0,11,732.5550585264733,23795,,4.990328820116054,84000011,USA,3371.595283875712,
Florida,US,2020-05-05 14:32:39,27.7663,-81.6868,37439,1471,0,35968.0,12,176.32786102657394,444270,6329,3.9290579342396965,84000012,USA,2092.39506445888,16.904831859825315
Georgia,US,2020-05-05 14:32:39,33.0406,-83.6431,29452,1246,0,28206.0,13,290.47103707292933,183325,5526,4.2306125220698085,84000013,USA,1808.0470892093836,18.762732581828057
Grand Princess,US,2020-05-05 14:32:39,,,103,3,0,100.0,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-05-05 14:32:39,13.4443,144.7937,145,5,125,15.0,66,88.29134927448867,3391,,3.4482758620689653,316,GUM,2064.799761308904,
Hawaii,US,2020-05-05 14:32:39,21.0943,-157.4983,621,17,544,60.0,15,43.86256114977829,33866,73,2.737520128824477,84000015,USA,2392.0281737494224,11.75523349436393
Idaho,US,2020-05-05 14:32:39,44.2405,-114.4788,2106,64,1267,775.0,16,130.76708618519623,29807,200,3.038936372269706,84000016,USA,1850.795127218492,9.49667616334283
Illinois,US,2020-05-05 14:32:39,40.3495,-88.9861,63777,2659,0,61118.0,17,543.4465385096169,333147,,4.169214607146777,84000017,USA,2838.7598031400553,
Indiana,US,2020-05-05 14:32:39,39.8494,-86.2583,20507,1151,0,19356.0,18,313.37131421575265,113297,,5.6127176086214465,84000018,USA,1731.3127120837826,
Iowa,US,2020-05-05 14:32:39,42.0115,-93.2105,9703,188,3486,6029.0,19,370.24275454809435,57161,,1.9375450891476862,84000019,USA,2181.123991829704,
Kansas,US,2020-05-05 14:32:39,38.5266,-96.7265,5383,156,291,4936.0,20,220.75154768036586,38603,553,2.8980122608211034,84000020,USA,1583.0711490070896,10.273081924577372
Kentucky,US,2020-05-05 14:32:39,37.6681,-84.6701,5245,261,1892,3092.0,21,153.21460005147077,58409,1519,4.976167778836988,84000021,USA,1706.2176500298103,28.96091515729266
Louisiana,US,2020-05-05 14:32:39,31.1695,-91.8678,29673,2064,20316,7293.0,22,645.4488385053203,180931,,6.955818420786573,84000022,USA,3935.621736919291,
Maine,US,2020-05-05 14:32:39,44.6939,-69.3819,1205,57,720,428.0,23,102.64002057911118,20751,186,4.730290456431535,84000023,USA,1767.5378149685778,15.435684647302905
Maryland,US,2020-05-05 14:32:39,39.0639,-76.8021,27117,1390,1695,24032.0,24,456.2589859060612,136995,5199,5.125935759855441,84000024,USA,2305.0189834495277,19.172474831286646
Massachusetts,US,2020-05-05 14:32:39,42.2302,-71.5301,69087,4090,0,64997.0,25,1006.5456719716215,324268,6622,5.920071793535687,84000025,USA,4724.341076597532,9.585015994325994
Michigan,US,2020-05-05 14:32:39,43.3266,-84.5361,43990,4139,15659,24192.0,26,552.1346801955352,222193,,9.408956581041146,84000026,USA,2788.8261194973074,
Minnesota,US,2020-05-05 14:32:39,45.6945,-93.9002,7234,427,4212,2595.0,27,146.24641611371072,85941,1271,5.902681780481061,84000027,USA,1737.4292572889708,17.569809234171966
Mississippi,US,2020-05-05 14:32:39,32.7416,-89.6787,7877,310,4421,3146.0,28,272.0704502546624,79677,1316,3.9355084423003683,84000028,USA,2752.03215246169,16.70686809699124
Missouri,US,2020-05-05 14:32:39,38.4561,-92.2884,8946,386,0,8560.0,29,152.6762894029753,91451,,4.3147775542141735,84000029,USA,1560.7421576337463,
Montana,US,2020-05-05 14:32:39,46.9219,-110.4544,457,16,404,37.0,30,52.77215477830499,15088,62,3.50109409190372,84000030,USA,1742.2894339060517,13.566739606126914
